codigo,nombre,distrito,provincia,departamento,latitud,longitud,altitud_m,banda_altitud,banda_descripcion
34736,DERMQ & REUMEDIC CONSULTORIO,SAN ISIDRO,LIMA,LIMA,-12.0904401,-77.0137394,146.0,Banda 1,0–2499 m s. n. m.
35309,CONSULTORIO MEDICO SHALOM,MOYOBAMBA,MOYOBAMBA,SAN MARTIN,-6.0295678,-76.9832049,861.0,Banda 1,0–2499 m s. n. m.
34675,SUMAC GUAGUITAS salud mental y desarrollo personal para toda la familia,JOSE LUIS BUSTAMANTE Y RIVERO,AREQUIPA,AREQUIPA,-16.3904395,-71.5668174,2348.0,Banda 1,0–2499 m s. n. m.
34341,WHITE MEDICS,MAGDALENA DEL MAR,LIMA,LIMA,-12.0871709,-77.0693755,74.0,Banda 1,0–2499 m s. n. m.
35060,SANNA CONSULTORIOS MÉDICOS SAN JUAN DE LURIGANCHO,SAN JUAN DE LURIGANCHO,LIMA,LIMA,-11.9988754,-77.0095424,216.0,Banda 1,0–2499 m s. n. m.
34743,MOLEX DENT,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,-6.2280841,-77.8672885,2344.0,Banda 1,0–2499 m s. n. m.
35059,LABORATORIO CARDILAB,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.15566749,-78.51399181,2711.0,Banda 2,2500–3599 m s. n. m.
34781,DENTAL MUÑOZ KIDS,LOS OLIVOS,LIMA,LIMA,-11.9836463,-77.0768939,54.0,Banda 1,0–2499 m s. n. m.
34708,CONSULTORIO ODONTOLOGICO DR CHARDY,JESUS MARIA,LIMA,LIMA,-12.06883242,-77.04662091,119.0,Banda 1,0–2499 m s. n. m.
35063,MOLAR CENTER,HUACHO,HUAURA,LIMA,-11.10817533,-77.61077175,35.0,Banda 1,0–2499 m s. n. m.
34977,CONSULTORIO GINECOOBSTETRICO TOPICO DE ENFERMERIA DR. CARLOS.,SAN JUAN BAUTISTA,MAYNAS,LORETO,-3.79139987,-73.30360905,98.0,Banda 1,0–2499 m s. n. m.
35212,ESTRATEGIA SALUD,LINCE,LIMA,LIMA,-12.0831699,-77.0348523,122.0,Banda 1,0–2499 m s. n. m.
35197,VIDA +,PUEBLO LIBRE,LIMA,LIMA,-12.0838571,-77.063035,82.0,Banda 1,0–2499 m s. n. m.
34910,Odontología Especializada Illary,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.15821437,-78.51618345,2720.0,Banda 2,2500–3599 m s. n. m.
34966,PUESTO DE SALUD CHICALLY,SANCOS,LUCANAS,AYACUCHO,-15.1914722,-74.21006062,1257.0,Banda 1,0–2499 m s. n. m.
35140,KINEPHY,SANTIAGO DE SURCO,LIMA,LIMA,-12.110657,-76.9834287,150.0,Banda 1,0–2499 m s. n. m.
35246,CONSULTORIO ODONTOLOGICO GOLD DENT,CHORRILLOS,LIMA,LIMA,-12.1846879,-76.9987378,41.0,Banda 1,0–2499 m s. n. m.
35312,CONSULTORIO DEL DOLOR DE LIMA,PUEBLO LIBRE,LIMA,LIMA,-12.0756024,-77.0679176,84.0,Banda 1,0–2499 m s. n. m.
35342,ARAVI Centro Psicológico y Terapéutico,SAN JUAN DE LURIGANCHO,LIMA,LIMA,-12.019956,-77.0090911,208.0,Banda 1,0–2499 m s. n. m.
34666,ESPECIALIDADES MEDICAS SANTA ANA - PEDIATRIA,PAUCARPATA,AREQUIPA,AREQUIPA,-16.41941215,-71.50100685,2451.0,Banda 1,0–2499 m s. n. m.
34674,FACE DENT,AREQUIPA,AREQUIPA,AREQUIPA,-16.39934008,-71.5463731,2332.0,Banda 1,0–2499 m s. n. m.
34272,REPROMEDIC SALUD INTEGRAL,JESUS MARIA,LIMA,LIMA,-12.0712352,-77.0396216,131.0,Banda 1,0–2499 m s. n. m.
34777,ODONTOLIAN,LOS OLIVOS,LIMA,LIMA,-11.99272273,-77.07167274,60.0,Banda 1,0–2499 m s. n. m.
